image_name,xmin,xmax,ymin,ymax,class_id
170_1b4_Ar_mc_AKGC417L_2.png,52,155,56,218,2
170_1b4_Ar_mc_AKGC417L_2.png,0,52,56,218,3
170_1b4_Ar_mc_AKGC417L_2.png,52,155,56,218,3
164_1b1_Ll_sc_Meditron_0.png,123,214,56,218,2
164_1b1_Ll_sc_Meditron_0.png,22,69,56,218,3
164_1b1_Ll_sc_Meditron_0.png,69,123,56,218,3
164_1b1_Ll_sc_Meditron_0.png,214,224,56,218,1
185_1b1_Ll_sc_Litt3200_0.png,20,78,56,218,1
185_1b1_Ll_sc_Litt3200_0.png,78,126,56,218,1
185_1b1_Ll_sc_Litt3200_0.png,126,178,56,218,1
185_1b1_Ll_sc_Litt3200_0.png,178,224,56,218,1
192_2b3_Ar_mc_LittC2SE_2.png,0,40,56,218,3
192_2b3_Ar_mc_LittC2SE_2.png,40,134,56,218,3
192_2b3_Ar_mc_LittC2SE_2.png,134,188,56,218,3
145_3b4_Pl_mc_AKGC417L_1.png,0,43,56,218,1
145_3b4_Pl_mc_AKGC417L_1.png,43,164,56,218,1
145_3b4_Pl_mc_AKGC417L_1.png,164,224,56,218,1
193_7b3_Tc_mc_AKGC417L_0.png,60,145,56,218,2
193_7b3_Tc_mc_AKGC417L_0.png,145,218,56,218,2
193_7b3_Tc_mc_AKGC417L_0.png,218,224,56,218,2
193_7b3_Tc_mc_AKGC417L_0.png,12,60,56,218,1
204_7p5_Al_mc_AKGC417L_2.png,0,33,56,218,1
204_7p5_Al_mc_AKGC417L_2.png,33,134,56,218,1
204_7p5_Al_mc_AKGC417L_2.png,134,191,56,218,1
199_2b3_Ll_mc_LittC2SE_1.png,0,51,56,218,2
199_2b3_Ll_mc_LittC2SE_1.png,51,115,56,218,2
199_2b3_Ll_mc_LittC2SE_1.png,115,198,56,218,2
199_2b3_Ll_mc_LittC2SE_1.png,198,224,56,218,2
205_1b3_Ar_mc_AKGC417L_1.png,0,113,56,218,2
205_1b3_Ar_mc_AKGC417L_1.png,113,224,56,218,2
221_2b2_Al_mc_LittC2SE_1.png,0,88,56,218,3
221_2b2_Al_mc_LittC2SE_1.png,88,224,56,218,3
107_2b5_Ar_mc_AKGC417L_0.png,124,211,56,218,2
107_2b5_Ar_mc_AKGC417L_0.png,2,45,56,218,1
107_2b5_Ar_mc_AKGC417L_0.png,45,124,56,218,1
107_2b5_Ar_mc_AKGC417L_0.png,211,224,56,218,1
111_1b2_Tc_sc_Meditron_0.png,1,75,56,218,1
111_1b2_Tc_sc_Meditron_0.png,75,160,56,218,1
111_1b2_Tc_sc_Meditron_0.png,160,224,56,218,1
147_2b2_Pl_mc_AKGC417L_0.png,131,224,56,218,3
147_2b2_Pl_mc_AKGC417L_0.png,13,131,56,218,1
160_2b3_Lr_mc_AKGC417L_2.png,0,31,56,218,1
160_2b3_Lr_mc_AKGC417L_2.png,31,121,56,218,1
160_2b3_Lr_mc_AKGC417L_2.png,121,161,56,218,1
180_1b4_Pr_mc_AKGC417L_2.png,0,50,56,218,2
180_1b4_Pr_mc_AKGC417L_2.png,50,163,56,218,2
180_1b4_Pr_mc_AKGC417L_2.png,163,188,56,218,2
180_1b4_Pr_mc_AKGC417L_2.png,0,50,56,218,3
180_1b4_Pr_mc_AKGC417L_2.png,50,163,56,218,3
156_5b3_Pr_mc_AKGC417L_0.png,1,65,56,218,2
156_5b3_Pr_mc_AKGC417L_0.png,65,135,56,218,2
156_5b3_Pr_mc_AKGC417L_0.png,135,206,56,218,2
156_5b3_Pr_mc_AKGC417L_0.png,206,224,56,218,2
156_5b3_Pr_mc_AKGC417L_0.png,1,65,56,218,3
156_5b3_Pr_mc_AKGC417L_0.png,65,135,56,218,3
156_5b3_Pr_mc_AKGC417L_0.png,135,206,56,218,3
156_5b3_Pr_mc_AKGC417L_0.png,206,224,56,218,3
107_2b5_Tc_mc_AKGC417L_2.png,0,2,56,218,1
107_2b5_Tc_mc_AKGC417L_2.png,2,84,56,218,1
107_2b5_Tc_mc_AKGC417L_2.png,84,171,56,218,1
162_2b4_Al_mc_AKGC417L_2.png,0,98,56,218,1
162_2b4_Al_mc_AKGC417L_2.png,98,151,56,218,1
